filedFor,year_quarter,Basic Materials_w,Communication Services_w,Consumer Cyclical_w,Consumer Defensive_w,Energy_w,Financial Services_w,Healthcare_w,Industrials_w,Real Estate_w,Technology_w,Utilities_w,Basic Materials_p,Communication Services_p,Consumer Cyclical_p,Consumer Defensive_p,Energy_p,Financial Services_p,Healthcare_p,Industrials_p,Real Estate_p,Technology_p,Utilities_p,portfolio_value
2002-03-31,2002Q1,0.1530447324525805,2.2614293301652513,3.645686980804154,49.66643311928374,,42.53122532994594,,1.7421805073483336,,,,146.1300048828125,140.5500030517578,243.38999938964844,236.6699981689453,,364.30999755859375,,260.4800109863281,,,,29729870000
2002-06-30,2002Q2,0.1568391327928168,1.7630540863335054,3.510625053974091,51.947256965403895,,40.99965601693802,,1.622568744557665,,,,142.4600067138672,103.83999633789062,211.1199951171875,230.6000061035156,,331.5799865722656,,219.47000122070312,,,,29632273000
2002-09-30,2002Q3,0.0941162331859992,1.7135814973277326,4.907488267597066,49.72377066552665,,40.465701601224815,,2.4918286295427596,0.6035131055949747,,,109.47000122070312,79.0,179.52000427246094,203.52999877929688,,278.010009765625,,183.41000366210935,83.37000274658203,,,27625415000
2002-12-31,2002Q4,0.1972143672596502,1.7496406246156924,5.215353241721261,47.05525467223906,,41.61085628736817,,3.223471974644534,0.9482088321516332,,,122.69000244140624,107.77999877929688,182.75,204.6199951171875,,296.9100036621094,,192.5,82.4800033569336,,,27850405000
2003-03-31,2003Q1,0.1021614089811364,1.9169734531462992,5.591021130485509,46.85388198241494,0.0566497102907973,42.14680639808493,,3.315368189113463,,0.0171377274829302,,113.05999755859376,91.52999877929688,179.83999633789062,190.25,183.11000061035156,280.07000732421875,,181.94000244140625,,218.97000122070312,,26467920000
2003-06-30,2003Q2,0.4134687287741559,1.9258703801314316,5.2617260401065336,46.131506223390694,0.0666304019438319,43.76196883162241,,2.4388293940309445,,,,127.76000213623048,110.25,213.75,206.47000122070312,194.82000732421875,329.92999267578125,,209.75,,,,29869248000
2003-09-30,2003Q3,0.3610530066152669,1.7707578253229033,4.9021628834287245,41.8040033129497,0.0712375689475598,46.19043648363627,2.12591464237806,1.8933405728660448,0.5804814731735941,0.2191964853297326,0.0814157453521433,135.00999450683594,99.12000274658205,218.1000061035156,207.9600067138672,195.6499938964844,341.79998779296875,323.8500061035156,218.2899932861328,95.38999938964844,286.32000732421875,110.76000213623048,31036994000
2003-12-31,2003Q4,0.3088868352835175,1.863071861150657,4.907892185545932,43.91348679277555,0.1078214517368657,44.68879403989078,1.9067786098598236,1.5733683882106837,0.5690796491541124,0.1608201863920758,,165.33999633789062,111.31999969482422,248.6999969482422,223.5,224.13999938964844,379.8200073242187,349.6600036621094,249.7400054931641,99.62999725341795,322.6600036621094,,34868757000
2004-03-31,2004Q1,0.3175367959745434,1.854424943753378,4.672272475256374,43.40313919694767,0.0940585970395632,45.86396347705375,1.7559141001308582,1.4130966994998904,0.6255937143439709,,,161.57000732421875,115.9499969482422,251.25,234.9900054931641,234.4499969482422,396.0799865722656,346.55999755859375,246.16000366210935,107.12000274658205,,,35802150000
2004-06-30,2004Q2,0.3172669519172453,1.838990534133504,4.938053120932822,44.39460345767947,0.0847128027474146,44.59766874453799,1.6819951740550878,1.47426819810696,0.6724410158895019,,,164.75,113.9000015258789,249.9900054931641,234.9499969482422,250.82000732421875,384.3900146484375,354.6600036621094,265.7799987792969,101.11000061035156,,,36016988000
