filedFor,ticker,value,industry
2013-06-30,AXP,11334417000,Financial Services
2013-06-30,BK,691264000,Financial Services
2013-06-30,CBI,569798000,Unknown
2013-06-30,COP,1459497000,Energy
2013-06-30,COST,479140000,Consumer Defensive
2013-06-30,DE,323275000,Industrials
2013-06-30,DISH,23272000,Unknown
2013-06-30,DTV1,2297655000,Unknown
2013-06-30,DVA,1808848000,Healthcare
2013-06-30,FWONA,712688000,Communication Services
2013-06-30,GE,13657000,Industrials
2013-06-30,GHC,835840000,Consumer Defensive
2013-06-30,GL,275921000,Financial Services
2013-06-30,GM,1332400000,Consumer Cyclical
2013-06-30,IBM,13018792000,Technology
2013-06-30,JNJ,28085000,Healthcare
2013-06-30,KO,16044001000,Consumer Defensive
2013-06-30,KRFT,10764000,Unknown
2013-06-30,LEE,181000,Communication Services
2013-06-30,MA,232673000,Financial Services
2013-06-30,MCO,1518508000,Financial Services
2013-06-30,MDLZ,16490000,Consumer Defensive
2013-06-30,MEG1,51248000,Unknown
2013-06-30,MTB,601444000,Financial Services
2013-06-30,NOV,611832000,Energy
2013-06-30,PCP,446898000,Unknown
2013-06-30,PG,4064539000,Consumer Defensive
2013-06-30,PSX,1600226000,Energy
2013-06-30,STRZA,124254000,Unknown
2013-06-30,UPS,5137000,Industrials
2013-06-30,USB,2829725000,Financial Services
2013-06-30,USG,393514000,Unknown
2013-06-30,V,284260000,Financial Services
2013-06-30,VIAB,517518000,Unknown
2013-06-30,VRSK,93337000,Industrials
2013-06-30,VRSN,486679000,Technology
2013-06-30,WBC,304461000,Unknown
2013-06-30,WFC,19113442000,Financial Services
2013-06-30,WMT,3668426000,Consumer Defensive
2013-06-30,XOM,2822906,Energy
2013-09-30,AXP,11449640000,Financial Services
2013-09-30,BK,744269000,Financial Services
2013-09-30,CBI,647254000,Unknown
2013-09-30,COP,940419000,Energy
2013-09-30,COST,499073000,Consumer Defensive
2013-09-30,DE,323832000,Industrials
2013-09-30,DISH,24635000,Unknown
2013-09-30,DTV1,2182848000,Unknown
2013-09-30,DVA,1789325000,Healthcare
2013-09-30,FWONA,827327000,Communication Services
2013-09-30,GE,14069000,Industrials
2013-09-30,GHC,1056270000,Consumer Defensive
2013-09-30,GL,306461000,Financial Services
2013-09-30,GM,1438800000,Consumer Cyclical
2013-09-30,IBM,12614828000,Technology
2013-09-30,JNJ,28356000,Healthcare
2013-09-30,KO,15152001000,Consumer Defensive
2013-09-30,KRFT,10111000,Unknown
2013-09-30,LEE,235000,Communication Services
2013-09-30,MA,272476000,Financial Services
2013-09-30,MCO,1752777000,Financial Services
2013-09-30,MDLZ,18161000,Consumer Defensive
2013-09-30,MEG1,66255000,Unknown
2013-09-30,MTB,602358000,Financial Services
2013-09-30,NOV,693617000,Energy
2013-09-30,PCP,449330000,Unknown
2013-09-30,PG,3990629000,Consumer Defensive
2013-09-30,PSX,1570618000,Energy
2013-09-30,STRZA,158156000,Unknown
2013-09-30,UPS,5427000,Industrials
2013-09-30,USB,2894119000,Financial Services
2013-09-30,USG,487923000,Unknown
2013-09-30,V,297248000,Financial Services
2013-09-30,VIAB,635809000,Unknown
2013-09-30,VRSK,101561000,Industrials
2013-09-30,VRSN,557832000,Technology
2013-09-30,WBC,343471000,Unknown
2013-09-30,WFC,19136598000,Financial Services
2013-09-30,WMT,3642325000,Consumer Defensive
2013-09-30,XOM,3449290000,Energy
2013-12-31,AXP,13755639000,Financial Services
2013-12-31,BK,861370000,Financial Services
2013-12-31,CBI,794050000,Unknown
2013-12-31,COP,782799000,Energy
2013-12-31,COST,515757000,Consumer Defensive
2013-12-31,DE,363381000,Industrials
2013-12-31,DTV1,2521705000,Unknown
2013-12-31,DVA,2310552000,Healthcare
2013-12-31,FWONA,775347000,Communication Services
2013-12-31,GE,296712000,Industrials
2013-12-31,GHC,1146062000,Consumer Defensive
2013-12-31,GL,331029000,Financial Services
2013-12-31,GM,1634800000,Consumer Cyclical
2013-12-31,GS,2239065000,Financial Services
2013-12-31,IBM,12777641000,Technology
2013-12-31,JNJ,29959000,Healthcare
2013-12-31,KO,16524000000,Consumer Defensive
2013-12-31,KRFT,10387000,Unknown
2013-12-31,LBTYA,262397000,Communication Services
2013-12-31,LEE,308000,Communication Services
2013-12-31,MA,338361000,Financial Services
2013-12-31,MCO,1935837000,Financial Services
2013-12-31,MDLZ,20403000,Consumer Defensive
2013-12-31,MEG1,105005000,Unknown
2013-12-31,MTB,626576000,Financial Services
2013-12-31,NOV,706226000,Energy
2013-12-31,PCP,532496000,Unknown
2013-12-31,PG,4297885000,Consumer Defensive
2013-12-31,PSX,2095153000,Energy
2013-12-31,STRZA,132804000,Unknown
2013-12-31,UPS,6242000,Industrials
2013-12-31,USB,3204565000,Financial Services
2013-12-31,USG,990184000,Unknown
2013-12-31,V,346370000,Financial Services
2013-12-31,VIAB,664412000,Unknown
2013-12-31,VRSK,102749000,Industrials
2013-12-31,VRSN,655280000,Technology
2013-12-31,WBC,380770000,Unknown
2013-12-31,WFC,21040998000,Financial Services
2013-12-31,WMT,3893875000,Consumer Defensive
2013-12-31,XOM,4162320000,Energy
2014-03-31,AXP,13649511000,Financial Services
2014-03-31,BK,869997000,Financial Services
2014-03-31,CBI,832348000,Unknown
2014-03-31,COP,779475000,Energy
2014-03-31,COST,483950000,Consumer Defensive
2014-03-31,DE,361272000,Industrials
2014-03-31,DTV1,2637614000,Unknown
2014-03-31,DVA,2590216000,Healthcare
2014-03-31,FWONA,692869000,Communication Services
2014-03-31,GE,274059000,Industrials
2014-03-31,GHC,1215915000,Consumer Defensive
2014-03-31,GL,333359000,Financial Services
2014-03-31,GM,1032600000,Consumer Cyclical
2014-03-31,GS,2069676000,Financial Services
2014-03-31,IBM,13157670000,Technology
2014-03-31,JNJ,32131000,Healthcare
2014-03-31,KO,15464001000,Consumer Defensive
2014-03-31,KRFT,10809000,Unknown
2014-03-31,LBTYA,305634000,Communication Services
2014-03-31,LBTYK,299095000,Communication Services
2014-03-31,LEE,397000,Communication Services
2014-03-31,MA,302535000,Financial Services
2014-03-31,MCO,1956807000,Financial Services
2014-03-31,MDLZ,19970000,Consumer Defensive
2014-03-31,MEG1,85351000,Unknown
2014-03-31,MTB,652842000,Financial Services
2014-03-31,NOV,691486000,Energy
2014-03-31,PCP,499792000,Unknown
2014-03-31,PG,4255122000,Consumer Defensive
2014-03-31,PSX,750664000,Energy
2014-03-31,STRZA,61963000,Unknown
2014-03-31,UPS,5784000,Industrials
2014-03-31,USB,3429944000,Financial Services
2014-03-31,USG,1141607000,Unknown
2014-03-31,V,335761000,Financial Services
2014-03-31,VIAB,646535000,Unknown
2014-03-31,VRSK,93744000,Industrials
2014-03-31,VRSN,629974000,Technology
2014-03-31,VZ,524352000,Communication Services
2014-03-31,WBC,430297000,Unknown
2014-03-31,WFC,23052408000,Financial Services
2014-03-31,WMT,4436946000,Consumer Defensive
2014-03-31,XOM,4017544000,Energy
2014-06-30,AXP,14383308000,Financial Services
2014-06-30,BK,923989000,Financial Services
2014-06-30,CBI,729816000,Unknown
2014-06-30,CHTR,365701000,Communication Services
2014-06-30,COP,116184000,Energy
2014-06-30,COST,499030000,Consumer Defensive
2014-06-30,DE,360277000,Industrials
2014-06-30,DNOW,66104000,Industrials
2014-06-30,DTV1,1995014000,Unknown
2014-06-30,DVA,2720762000,Healthcare
2014-06-30,FWONA,546720000,Communication Services
2014-06-30,GE,278186000,Industrials
2014-06-30,GHC,77251000,Consumer Defensive
2014-06-30,GL,346998000,Financial Services
2014-06-30,GM,1196451000,Consumer Cyclical
2014-06-30,GS,2115024000,Financial Services
2014-06-30,IBM,12720437000,Technology
2014-06-30,JNJ,34221000,Healthcare
2014-06-30,KO,16944000000,Consumer Defensive
2014-06-30,KRFT,11550000,Unknown
2014-06-30,LBTYA,436299000,Communication Services
2014-06-30,LBTYK,310850000,Communication Services
2014-06-30,LEE,395000,Communication Services
2014-06-30,MA,297554000,Financial Services
2014-06-30,MCO,2162553000,Financial Services
2014-06-30,MDLZ,21739000,Consumer Defensive
2014-06-30,MEG1,95387000,Unknown
2014-06-30,MTB,667642000,Financial Services
2014-06-30,NOV,601342000,Energy
2014-06-30,PCP,473659000,Unknown
2014-06-30,PG,4149008000,Consumer Defensive
2014-06-30,PSX,522457000,Energy
2014-06-30,UPS,6098000,Industrials
2014-06-30,USB,3469692000,Financial Services
2014-06-30,USG,1175131000,Unknown
2014-06-30,V,379225000,Financial Services
2014-06-30,VIAB,659772000,Unknown
2014-06-30,VRSK,93837000,Industrials
2014-06-30,VRSN,633798000,Technology
2014-06-30,VZ,733996000,Communication Services
2014-06-30,WBC,435433000,Unknown
2014-06-30,WFC,24359359000,Financial Services
2014-06-30,WMT,4413910000,Consumer Defensive
2014-06-30,XOM,4140932000,Energy
2014-09-30,AXP,13272002000,Financial Services
2014-09-30,BK,905413000,Financial Services
2014-09-30,CBI,619059000,Unknown
2014-09-30,CHTR,749296000,Communication Services
2014-09-30,COP,36117000,Energy
2014-09-30,COST,543057000,Consumer Defensive
2014-09-30,DE,620451,Industrials
2014-09-30,DNOW,55515000,Industrials
2014-09-30,DTV1,2595600000,Unknown
2014-09-30,DVA,2751611000,Healthcare
2014-09-30,ESRX,31747000,Unknown
2014-09-30,FWONA,188720000,Communication Services
2014-09-30,FWONK,375920000,Communication Services
2014-09-30,GE,271200000,Industrials
2014-09-30,GHC,75259000,Consumer Defensive
2014-09-30,GL,332745000,Financial Services
2014-09-30,GM,1277600000,Consumer Cyclical
2014-09-30,GS,2318769000,Financial Services
2014-09-30,IBM,13378840000,Technology
2014-09-30,JNJ,34866000,Healthcare
2014-09-30,KO,17064001000,Consumer Defensive
2014-09-30,KRFT,10866000,Unknown
2014-09-30,LBTYA,442459000,Communication Services
2014-09-30,LBTYK,301336000,Communication Services
2014-09-30,LEE,300000,Communication Services
2014-09-30,MA,348562000,Financial Services
2014-09-30,MCO,2331294000,Financial Services
2014-09-30,MDLZ,19805000,Consumer Defensive
2014-09-30,MEG1,60912000,Unknown
2014-09-30,MTB,663552000,Financial Services
2014-09-30,NOV,485698000,Energy
2014-09-30,PCP,493237000,Unknown
2014-09-30,PG,4420893000,Consumer Defensive
2014-09-30,PSX,504317000,Energy
2014-09-30,UPS,5838000,Industrials
2014-09-30,USB,3350353000,Financial Services
2014-09-30,USG,1072166000,Unknown
2014-09-30,V,457954000,Financial Services
2014-09-30,VIAB,593069000,Unknown
2014-09-30,VRSK,95197000,Industrials
2014-09-30,VRSN,715733000,Technology
2014-09-30,VZ,749897000,Communication Services
2014-09-30,WBC,370742000,Unknown
2014-09-30,WFC,24039574000,Financial Services
2014-09-30,WMT,4617663000,Consumer Defensive
2014-09-30,XOM,3868243000,Energy
2014-12-31,AXP,14105859000,Financial Services
2014-12-31,BK,893050000,Financial Services
2014-12-31,CBI,449233000,Unknown
2014-12-31,CHTR,1032751000,Communication Services
2014-12-31,COST,614254000,Consumer Defensive
2014-12-31,DE,1512562000,Industrials
2014-12-31,DNOW,46972000,Industrials
2014-12-31,DTV1,2718346000,Unknown
2014-12-31,DVA,2920956000,Healthcare
2014-12-31,FWONA,141080000,Communication Services
2014-12-31,FWONK,280240000,Communication Services
2014-12-31,GE,267496000,Industrials
2014-12-31,GHC,92914000,Consumer Defensive
2014-12-31,GL,344181000,Financial Services
2014-12-31,GM,1431311000,Consumer Cyclical
2014-12-31,GS,2448370000,Financial Services
2014-12-31,IBM,12349358000,Technology
2014-12-31,JNJ,34205000,Healthcare
2014-12-31,KO,16887999000,Consumer Defensive
2014-12-31,KRFT,12072000,Unknown
2014-12-31,LBTYA,543034000,Communication Services
2014-12-31,LBTYK,354932000,Communication Services
2014-12-31,LEE,327000,Communication Services
2014-12-31,MA,465243000,Financial Services
